"","County","Year","All Months"
"1","ALAMANCE",1998,162
"2","ALAMANCE",1999,236
"3","ALAMANCE",2000,254
"4","ALAMANCE",2001,315
"5","ALAMANCE",2002,418
"6","ALAMANCE",2003,562
"7","ALAMANCE",2004,574
"8","ALAMANCE",2005,669
"9","ALAMANCE",2006,737
"10","ALAMANCE",2007,882
"11","ALAMANCE",2008,872
"12","ALAMANCE",2009,932
"13","ALAMANCE",2010,976
"14","ALAMANCE",2011,738
"15","ALAMANCE",2012,812
"16","ALAMANCE",2013,653
"17","ALAMANCE",2014,444
"18","ALAMANCE",2015,373
"19","ALAMANCE",2016,353
"20","ALAMANCE",2017,330
"21","ALAMANCE",2018,217
"22","ALEXANDER",1998,44
"23","ALEXANDER",1999,59
"24","ALEXANDER",2000,62
"25","ALEXANDER",2001,95
"26","ALEXANDER",2002,107
"27","ALEXANDER",2003,164
"28","ALEXANDER",2004,147
"29","ALEXANDER",2005,153
"30","ALEXANDER",2006,184
"31","ALEXANDER",2007,161
"32","ALEXANDER",2008,143
"33","ALEXANDER",2009,157
"34","ALEXANDER",2010,200
"35","ALEXANDER",2011,154
"36","ALEXANDER",2012,167
"37","ALEXANDER",2013,148
"38","ALEXANDER",2014,102
"39","ALEXANDER",2015,100
"40","ALEXANDER",2016,73
"41","ALEXANDER",2017,75
"42","ALEXANDER",2018,44
"43","ALLEGHANY",1998,23
"44","ALLEGHANY",1999,16
"45","ALLEGHANY",2000,29
"46","ALLEGHANY",2001,32
"47","ALLEGHANY",2002,43
"48","ALLEGHANY",2003,45
"49","ALLEGHANY",2004,32
"50","ALLEGHANY",2005,53
"51","ALLEGHANY",2006,34
"52","ALLEGHANY",2007,31
"53","ALLEGHANY",2008,48
"54","ALLEGHANY",2009,109
"55","ALLEGHANY",2010,87
"56","ALLEGHANY",2011,77
"57","ALLEGHANY",2012,70
"58","ALLEGHANY",2013,52
"59","ALLEGHANY",2014,31
"60","ALLEGHANY",2015,23
"61","ALLEGHANY",2016,32
"62","ALLEGHANY",2017,18
"63","ALLEGHANY",2018,12
"64","ANSON",1998,42
"65","ANSON",1999,63
"66","ANSON",2000,56
"67","ANSON",2001,59
"68","ANSON",2002,98
"69","ANSON",2003,92
"70","ANSON",2004,97
"71","ANSON",2005,130
"72","ANSON",2006,114
"73","ANSON",2007,105
"74","ANSON",2008,110
"75","ANSON",2009,79
"76","ANSON",2010,100
"77","ANSON",2011,90
"78","ANSON",2012,87
"79","ANSON",2013,56
"80","ANSON",2014,53
"81","ANSON",2015,50
"82","ANSON",2016,38
"83","ANSON",2017,54
"84","ANSON",2018,36
"85","ASHE",1998,17
"86","ASHE",1999,23
"87","ASHE",2000,31
"88","ASHE",2001,45
"89","ASHE",2002,43
"90","ASHE",2003,55
"91","ASHE",2004,55
"92","ASHE",2005,65
"93","ASHE",2006,76
"94","ASHE",2007,94
"95","ASHE",2008,81
"96","ASHE",2009,136
"97","ASHE",2010,158
"98","ASHE",2011,147
"99","ASHE",2012,123
"100","ASHE",2013,99
"101","ASHE",2014,89
"102","ASHE",2015,56
"103","ASHE",2016,80
"104","ASHE",2017,45
"105","ASHE",2018,29
"106","AVERY",1998,31
"107","AVERY",1999,14
"108","AVERY",2000,22
"109","AVERY",2001,37
"110","AVERY",2002,56
"111","AVERY",2003,208
"112","AVERY",2004,69
"113","AVERY",2005,41
"114","AVERY",2006,49
"115","AVERY",2007,49
"116","AVERY",2008,60
"117","AVERY",2009,112
"118","AVERY",2010,153
"119","AVERY",2011,144
"120","AVERY",2012,110
"121","AVERY",2013,96
"122","AVERY",2014,56
"123","AVERY",2015,54
"124","AVERY",2016,51
"125","AVERY",2017,51
"126","AVERY",2018,29
"127","BEAUFORT",1998,56
"128","BEAUFORT",1999,82
"129","BEAUFORT",2000,78
"130","BEAUFORT",2001,97
"131","BEAUFORT",2002,116
"132","BEAUFORT",2003,148
"133","BEAUFORT",2004,150
"134","BEAUFORT",2005,132
"135","BEAUFORT",2006,125
"136","BEAUFORT",2007,133
"137","BEAUFORT",2008,122
"138","BEAUFORT",2009,142
"139","BEAUFORT",2010,171
"140","BEAUFORT",2011,187
"141","BEAUFORT",2012,173
"142","BEAUFORT",2013,184
